SAMPLENAME	index	index_type
M13U036_4m_20231113_GFPpCD33n_inVivo_NA_CD225_sampled_CD225_22_S22_L002_R1_001.fastq	2800	unique barcodes
M13U036_4m_20231113_GFPpCD33p_inVivo_NA_CD225_sampled_CD225_20_S20_L002_R1_001.fastq	748	unique barcodes
M13U036_4m_20231113_PBGr_inVivo_16wk_CD225_sampled_CD225_5_S5_L002_R1_001.fastq	982	unique barcodes
M13U036_5m_20231214_B_inVivo_NA_CD225_sampled_CD225_33_S33_L002_R1_001.fastq	6841	unique barcodes
M13U036_5m_20231214_CD16p_inVivo_NA_CD225_sampled_CD225_35_S35_L002_R1_001.fastq	683	unique barcodes
M13U036_5m_20231214_CD56p_inVivo_NA_CD225_sampled_CD225_36_S36_L002_R1_001.fastq	2274	unique barcodes
M13U036_5m_20231214_DN_inVivo_NA_CD225_sampled_CD225_37_S37_L002_R1_001.fastq	2102	unique barcodes
M13U036_5m_20231214_GFPnCD33int_inVivo_NA_CD225_sampled_CD225_30_S30_L002_R1_001.fastq	577	unique barcodes
M13U036_5m_20231214_GFPnCD33n_inVivo_NA_CD225_sampled_CD225_31_S31_L002_R1_001.fastq	917	unique barcodes
M13U036_5m_20231214_GFPnCD33p_inVivo_NA_CD225_sampled_CD225_29_S29_L002_R1_001.fastq	827	unique barcodes
M13U036_5m_20231214_GFPpCD33int_inVivo_NA_CD225_sampled_CD225_27_S27_L002_R1_001.fastq	907	unique barcodes
M13U036_5m_20231214_GFPpCD33n_inVivo_NA_CD225_sampled_CD225_28_S28_L002_R1_001.fastq	1557	unique barcodes
M13U036_5m_20231214_GFPpCD33p_inVivo_NA_CD225_sampled_CD225_26_S26_L002_R1_001.fastq	586	unique barcodes
M13U036_5m_20231214_Mono_inVivo_NA_CD225_sampled_CD225_34_S34_L002_R1_001.fastq	1795	unique barcodes
M13U036_5m_20231214_NKG2A_inVivo_NA_CD225_sampled_CD225_38_S38_L002_R1_001.fastq	2517	unique barcodes
M13U036_5m_20231214_PBGr_inVivo_20wk_CD225_sampled_CD225_7_S7_L002_R1_001.fastq	1088	unique barcodes
M13U036_5m_20231214_T_inVivo_NA_CD225_sampled_CD225_32_S32_L002_R1_001.fastq	2492	unique barcodes
M13U036_6hm_202421_B_InVivo_NA_CD226_sampled_CD226_78_S78_L002_R1_001.fastq	3091	unique barcodes
M13U036_6hm_202421_CD16p_InVivo_NA_CD226_sampled_CD226_80_S80_L002_R1_001.fastq	356	unique barcodes
M13U036_6hm_202421_CD56p_InVivo_NA_CD226_sampled_CD226_48_S48_L002_R1_001.fastq	49	unique barcodes
M13U036_6hm_202421_DN_InVivo_NA_CD226_sampled_CD226_49_S49_L002_R1_001.fastq	779	unique barcodes
M13U036_6hm_202421_GFPpCD33n_InVivo_NA_CD226_sampled_CD226_51_S51_L002_R1_001.fastq	280	unique barcodes
M13U036_6hm_202421_GFPpCD33p_InVivo_NA_CD226_sampled_CD226_50_S50_L002_R1_001.fastq	557	unique barcodes
M13U036_6hm_202421_Mono_InVivo_NA_CD226_sampled_CD226_79_S79_L002_R1_001.fastq	483	unique barcodes
M13U036_6hm_202421_PBGr_InVivo_NA_CD226_sampled_CD226_68_S68_L002_R1_001.fastq	551	unique barcodes
M13U036_6hm_202421_T_InVivo_NA_CD226_sampled_CD226_77_S77_L002_R1_001.fastq	960	unique barcodes
M13U036_7hm_2024226_GFPpCD33n_InVivo_NA_CD226_sampled_CD226_53_S53_L002_R1_001.fastq	538	unique barcodes
M13U036_7hm_2024226_GFPpCD33p_InVivo_NA_CD226_sampled_CD226_52_S52_L002_R1_001.fastq	575	unique barcodes
M13U036_7hm_2024226_PBGr_InVivo_NA_CD226_sampled_CD226_69_S69_L002_R1_001.fastq	901	unique barcodes
M13U036_8hm_2024319_GFPpCD33n_InVivo_NA_CD226_sampled_CD226_55_S55_L002_R1_001.fastq	515	unique barcodes
M13U036_8hm_2024319_GFPpCD33p_InVivo_NA_CD226_sampled_CD226_54_S54_L002_R1_001.fastq	553	unique barcodes
M13U036_8hm_2024319_PBGr_InVivo_NA_CD226_sampled_CD226_70_S70_L002_R1_001.fastq	902	unique barcodes
M13U036_9hm_2024424_GFPpCD33n_InVivo_NA_CD226_sampled_CD226_57_S57_L002_R1_001.fastq	407	unique barcodes
M13U036_9hm_2024424_GFPpCD33p_InVivo_NA_CD226_sampled_CD226_56_S56_L002_R1_001.fastq	494	unique barcodes
M13U036_9hm_2024424_PBGr_InVivo_NA_CD226_sampled_CD226_71_S71_L002_R1_001.fastq	503	unique barcodes
